~And, Andromeda
Alp And, Del And
Del And, Bet And
Bet And, Gam And
Bet And, Gam2And
Alp And, Pi  And
Pi  And, Mu  And
Mu  And, Phi And
Mu  And, Kap And
Kap And, Omi And
~Ant, Antlia
Iot Ant, Alp Ant
Alp Ant, The Ant
The Ant, Eta Ant
~Aps, Apus
Alp Aps, Del1Aps
Del1Aps, Gam Aps
Gam Aps, Bet Aps
~Aqr, Aquarius
Eps Aqr, Bet Aqr
Bet Aqr, Alp Aqr
Alp Aqr, Gam Aqr
Gam Aqr, Zet2Aqr
Zet2Aqr, Pi  Aqr
Zet2Aqr, Eta Aqr
Zet2Aqr, Lam Aqr
Gam Aqr, Zet2Aqr
Lam Aqr, Tau Aqr
Tau Aqr, Del Aqr
Lam Aqr, Tau2Aqr
Tau2Aqr, Del Aqr
Del Aqr, 88  Aqr
88  Aqr, 98  Aqr
98  Aqr, 99  Aqr
99  Aqr, 104 Aqr
104 Aqr, 102 Aqr
104 Aqr, Ome1Aqr
102 Aqr, Psi1Aqr
Ome1Aqr, Psi1Aqr
Psi1Aqr, Phi Aqr
Phi Aqr, Lam Aqr
~Aql, Aquila
Alp Aql, Bet Aql
Bet Aql, The Aql
The Aql, Eta Aql
Eta Aql, Iot Aql
Iot Aql, Lam Aql
Lam Aql, 12  Aql
12  Aql, Del Aql
Del Aql, Gam Aql
Gam Aql, Alp Aql
Gam Aql, Zet Aql
Zet Aql, Eps Aql
~Ara, Ara
The Ara, Alp Ara
Alp Ara, Eps1Ara
Eps1Ara, Zet Ara
Zet Ara, Eta Ara
Zet Ara, Gam Ara
Gam Ara, Del Ara
Gam Ara, Bet Ara
Bet Ara, Alp Ara
~Ari, Aries
Del Ari, Eps Ari
Eps Ari, 41  Ari
41  Ari, Alp Ari
Alp Ari, Bet Ari
Bet Ari, Gam Ari
~Aur, Auriga
Alp Aur, Eps Aur
Eps Aur, Eta Aur
Eta Aur, Zet Aur
Zet Aur, Iot Aur
Iot Aur, Bet Tau
Bet Tau, The Aur
The Aur, Bet Aur
Bet Aur, Alp Aur
